Number,Category,Sub_Category,Topic
1,Nature,Natural Wonders,The underground river system of Puerto Princesa and its role in local ecosystems
2,Nature,Natural Wonders,Rare rock formations in the Masungi Georeserve and their development over millions of years
3,Nature,Natural Wonders,The volcanic activity of Mount Mayon and how it shapes the surrounding landscape
4,Nature,Natural Wonders,The biodiversity hotspots within Siargao's rock pools and lagoons
5,Nature,Natural Wonders,Natural salt formations and pink waters of the Great Santa Cruz Island in Zamboanga
6,Nature,Natural Wonders,The creation and preservation of the Banaue Rice Terraces by natural water systems
7,Nature,Natural Wonders,Taal Volcano's crater lake ecosystem and its distinctive characteristics
8,Nature,Natural Wonders,The natural spring phenomenon at Hinatuan Enchanted River
9,Nature,Natural Wonders,Marine sanctuaries around Apo Island and their self-sustaining ecosystems
10,Nature,Natural Wonders,Natural waterfalls of Iligan City and their geological formation
11,Nature,Natural Wonders,The white sand composition of Boracay's beaches and their natural maintenance
12,Nature,Natural Wonders,Unique rock formations in the Hundred Islands and their evolution
13,Nature,Natural Wonders,The natural mangrove systems of Siargao and their role in coastal protection
14,Nature,Natural Wonders,Tinuy-an Falls' unique curtain-like water formation process
15,Nature,Natural Wonders,Crystal cave formations in Sohoton Cove and their growth process
16,Nature,Natural Wonders,The natural sand bar formation at Snake Island in El Nido
17,Nature,Natural Wonders,Unique coral formations in Moalboal's sardine run area
18,Nature,Natural Wonders,Natural salt pools formation in Biri Rock Formations
19,Nature,Natural Wonders,The twin lakes of Negros Oriental and their volcanic origin
20,Nature,Natural Wonders,Marine life congregation at Pescador Island's natural reef wall
21,Nature,Natural Wonders,Unique cave pearls formation in Callao Cave system
22,Nature,Natural Wonders,The natural blue holes formation in Romblon's waters
23,Nature,Natural Wonders,The limestone karst landscape of Coron and its development process
24,Nature,Wildlife,The unique adaptations of Philippine eagles and their crucial role in maintaining forest ecosystems
25,Nature,Wildlife,How nocturnal animals in Philippine rainforests communicate and navigate in complete darkness
26,Nature,Wildlife,Survival strategies of endemic Philippine species during extreme weather conditions
27,Nature,Wildlife,The symbiotic relationships between different wildlife species in Philippine mangrove forests
